Plug,Depth,Box,Track,Cm. u. top.,Orientation,Length,Width,Volume,Weight,Porosity,Density (grain),Density (bulk),Permeability,,Avg. 3,Avg. 5,Avg. 7
1145,51.14,9,2,25,Hori.,41.93,24.81,20.05,36.59,31.80,2.68,1.825,9.951,,1.683805311,1.665307161,1.637684475
1144,53.08,9,4,17,Hori.,42.48,24.60,20.11,30.36,42.84,2.64,1.510,2.217,,1.610804765,1.648178316,1.668763034
1143,55.78,10,2,18,Hori.,42.70,24.68,20.27,30.36,40.29,2.67,1.498,10.821,,1.566390771,1.637443945,1.660609678
1142,58.58,10,4,86,Hori.,42.45,24.65,20.11,34.02,36.22,2.65,1.692,2.276,,1.617528467,1.616509696,1.644987979
1141,60.52,11,2,87,Hori.,41.21,24.75,19.68,32.73,37.66,2.67,1.663,5.262,,1.691690614,1.636056306,1.622985418
1140,62.03,11,4,40,Hori.,44.10,24.72,21.02,36.16,35.62,2.67,1.720,9.481,,1.663601963,1.670684257,1.626864146
1139,63.84,12,2,16,Hori.,,,19.92,32.02,39.45,2.66,1.607,,,1.666205285,1.639714676,1.628871001
1138,66.13,12,4,15,Hori.,39.74,24.75,18.81,31.43,36.99,2.65,1.671,5.173,,1.605065737,1.609458316,1.589094884
1137,67.10,13,1,15,Hori.,39.33,24.66,18.59,28.57,42.52,2.67,1.537,9.164,,1.573198483,1.548057604,1.55369751
1136,71.56,13,4,11,Hori.,,,13.95,21.09,42.95,2.65,1.512,,,1.48731286,1.509637287,1.532796427
1135,74.00,14,2,30,Hori.,43.78,24.66,20.81,29.41,46.68,2.65,1.413,5.081,,1.446806315,1.490245109,1.525393893
1134,76.12,14,4,13,Hori.,45.90,24.65,21.79,30.84,46.30,2.64,1.415,5.228,,1.467516606,1.493997952,1.481253975
1133,77.77,15,1,83,Hori.,43.95,24.65,20.89,32.88,40.92,2.66,1.574,4.975,,1.514966317,1.464020421,1.480459467
1132,80.25,15,4,24,Hori.,41.29,24.71,19.69,30.63,41.29,2.65,1.556,4.579,,1.497170372,1.487625092,1.458041468
1131,82.26,16,2,10,Hori.,34.84,24.61,16.08,21.90,48.03,2.62,1.362,4.180,,1.482946165,1.475539858,1.448295765
1130,84.40,16,4,40,Hori.,37.15,24.58,17.26,26.43,42.86,2.68,1.531,2.956,,1.416042823,1.429756678,1.43829326
1129,85.10,17,1,10,Hori.,,,15.30,20.73,48.25,2.62,1.355,,,1.410410369,1.3876964,1.410317484
1128,90.26,17,3,67,Hori.,,,12.81,17.23,49.41,2.66,1.345,,,1.348418498,1.390934021,1.383111956
1127,91.48,18,1,10,Hori.,,,16.42,22.09,49.71,2.68,1.345,,,1.356160644,1.357711436,1.396911769
1126,96.27,18,3,14,Hori.,39.35,24.59,18.38,25.33,48.60,2.68,1.378,6.439,,1.362870762,1.378438843,1.377532084
1125,99.39,19,1,14,Hori.,,,11.83,16.15,48.83,2.67,1.365,,,1.400613561,1.388555939,1.395720538
1124,102.70,19,3,25,Hori.,42.90,24.65,20.26,29.55,45.61,2.68,1.459,5.365,,1.406446899,1.415938047,1.418476943
1123,105.80,20,1,35,Hori.,38.74,24.60,18.30,25.54,47.94,2.68,1.396,7.166,,1.445462849,1.441179921,1.433863768
1122,108.03,20,2,11,Hori.,43.44,24.60,20.53,30.43,44.71,2.68,1.482,6.024,,1.460729108,1.458748938,1.443809125
1121,111.17,20,4,53,Hori.,36.65,24.65,17.29,26.01,43.92,2.68,1.504,5.589,,1.479859093,1.456590319,1.451572608
